Compound,Date,Negative,Neutral,Positive,Tweet Count,User
0.0,Wed Dec 13 20:17:12 +0000 2017,0.0,1.0,0.0,1,@BBC
0.0,Wed Dec 13 20:16:42 +0000 2017,0.0,1.0,0.0,2,@BBC
0.9078,Wed Dec 13 20:16:32 +0000 2017,0.0,0.392,0.608,3,@BBC
-0.6597,Wed Dec 13 20:16:19 +0000 2017,0.216,0.784,0.0,4,@BBC
0.3384,Wed Dec 13 20:15:33 +0000 2017,0.0,0.87,0.13,5,@BBC
-0.3182,Wed Dec 13 20:15:32 +0000 2017,0.161,0.839,0.0,6,@BBC
-0.3182,Wed Dec 13 20:15:19 +0000 2017,0.187,0.813,0.0,7,@BBC
-0.3182,Wed Dec 13 20:15:18 +0000 2017,0.187,0.813,0.0,8,@BBC
0.0,Wed Dec 13 20:15:02 +0000 2017,0.0,1.0,0.0,9,@BBC
-0.296,Wed Dec 13 20:15:00 +0000 2017,0.095,0.905,0.0,10,@BBC
0.0,Wed Dec 13 20:14:15 +0000 2017,0.0,1.0,0.0,11,@BBC
0.0,Wed Dec 13 20:14:10 +0000 2017,0.0,1.0,0.0,12,@BBC
0.0,Wed Dec 13 20:13:43 +0000 2017,0.0,1.0,0.0,13,@BBC
0.6369,Wed Dec 13 20:13:27 +0000 2017,0.0,0.656,0.344,14,@BBC
0.0,Wed Dec 13 20:12:23 +0000 2017,0.0,1.0,0.0,15,@BBC
0.0,Wed Dec 13 20:12:10 +0000 2017,0.0,1.0,0.0,16,@BBC
0.0,Wed Dec 13 20:11:35 +0000 2017,0.0,1.0,0.0,17,@BBC
0.0,Wed Dec 13 20:11:32 +0000 2017,0.0,1.0,0.0,18,@BBC
0.0,Wed Dec 13 20:11:31 +0000 2017,0.0,1.0,0.0,19,@BBC
0.0,Wed Dec 13 20:11:28 +0000 2017,0.0,1.0,0.0,20,@BBC
0.5719,Wed Dec 13 20:10:53 +0000 2017,0.0,0.701,0.299,21,@BBC
0.0772,Wed Dec 13 20:10:49 +0000 2017,0.0,0.894,0.106,22,@BBC
0.0,Wed Dec 13 20:10:45 +0000 2017,0.0,1.0,0.0,23,@BBC
0.0,Wed Dec 13 20:10:13 +0000 2017,0.0,1.0,0.0,24,@BBC
0.0,Wed Dec 13 20:10:00 +0000 2017,0.0,1.0,0.0,25,@BBC
-0.3818,Wed Dec 13 20:09:08 +0000 2017,0.302,0.698,0.0,26,@BBC
0.4678,Wed Dec 13 20:08:25 +0000 2017,0.139,0.613,0.249,27,@BBC
